site_id,pollutant
site_103,PM25
site_105,PM25
site_106,PM25
site_107,PM25
site_108,PM25
site_109,PM25
site_111,PM25
site_113,PM25
site_114,PM25
site_115,PM25
site_117,PM25
site_118,PM25
site_119,PM25
site_122,PM25
site_124,PM25
site_125,PM25
site_136,PM25
site_1390,PM25
site_1391,PM25
site_1392,PM25
site_1393,PM25
site_1394,PM25
site_1395,PM25
site_1396,PM25
site_1397,PM25
site_1399,PM25
site_1400,PM25
site_1401,PM25
site_1402,PM25
site_1403,PM25
site_1404,PM25
site_1406,PM25
site_1416,PM25
site_1418,PM25
site_1419,PM25
site_1420,PM25
site_1421,PM25
site_1422,PM25
site_1423,PM25
site_1424,PM25
site_1425,PM25
site_1426,PM25
site_1427,PM25
site_1428,PM25
site_1429,PM25
site_1430,PM25
site_1431,PM25
site_1432,PM25
site_1433,PM25
site_1434,PM25
site_1435,PM25
site_1437,PM25
site_1438,PM25
site_144,PM25
site_1450,PM25
site_146,PM25
site_147,PM25
site_153,PM25
site_1538,PM25
site_1541,PM25
site_1542,PM25
site_1549,PM25
site_1550,PM25
site_1553,PM25
site_1554,PM25
site_1555,PM25
site_1556,PM25
site_1557,PM25
site_1558,PM25
site_1560,PM25
site_1561,PM25
site_1562,PM25
site_1563,PM25
site_157,PM25
site_158,PM25
site_159,PM25
site_161,PM25
site_162,PM25
site_164,PM25
site_198,PM25
site_199,PM25
site_251,PM25
site_253,PM25
site_255,PM25
site_256,PM25
site_258,PM25
site_260,PM25
site_262,PM25
site_263,PM25
site_273,PM25
site_274,PM25
site_275,PM25
site_276,PM25
site_277,PM25
site_288,PM25
site_293,PM25
site_294,PM25
site_295,PM25
site_296,PM25
site_297,PM25
site_298,PM25
site_299,PM25
site_301,PM25
site_304,PM25
site_306,PM25
site_307,PM25
site_308,PM25
site_309,PM25
site_5023,PM25
site_5024,PM25
site_5025,PM25
site_5039,PM25
site_5040,PM25
site_5042,PM25
site_5043,PM25
site_5044,PM25
site_5045,PM25
site_5046,PM25
site_5047,PM25
site_5048,PM25
site_5049,PM25
site_5050,PM25
site_5051,PM25
site_5052,PM25
site_5053,PM25
site_5054,PM25
site_5055,PM25
site_5056,PM25
site_5057,PM25
site_5060,PM25
site_5065,PM25
site_5066,PM25
site_5067,PM25
site_5071,PM25
site_5072,PM25
site_5073,PM25
site_5081,PM25
site_5082,PM25
site_5083,PM25
site_5101,PM25
site_5104,PM25
site_5105,PM25
site_5107,PM25
site_5110,PM25
site_5111,PM25
site_5112,PM25
site_5115,PM25
site_5118,PM25
site_5119,PM25
site_5121,PM25
site_5122,PM25
site_5123,PM25
site_5124,PM25
site_5125,PM25
site_5126,PM25
site_5127,PM25
site_5129,PM25
site_5238,PM25
site_5247,PM25
site_5248,PM25
site_5249,PM25
site_5250,PM25
site_5254,PM25
site_5255,PM25
site_5258,PM25
site_5261,PM25
site_5262,PM25
site_5263,PM25
site_5264,PM25
site_5265,PM25
site_5266,PM25
site_5270,PM25
site_5271,PM25
site_5273,PM25
site_5276,PM25
site_5334,PM25
site_5335,PM25
site_5336,PM25
site_5338,PM25
site_5339,PM25
site_5340,PM25
site_5344,PM25
site_5345,PM25
site_5361,PM25
site_5363,PM25
site_5364,PM25
site_5370,PM25
site_5391,PM25
site_5394,PM25
site_5396,PM25
site_5399,PM25
site_5417,PM25
site_5423,PM25
site_103,PM10
site_105,PM10
site_106,PM10
site_107,PM10
site_108,PM10
site_109,PM10
site_111,PM10
site_113,PM10
site_115,PM10
site_117,PM10
site_118,PM10
site_119,PM10
site_122,PM10
site_124,PM10
site_125,PM10
site_136,PM10
site_1390,PM10
site_1391,PM10
site_1392,PM10
site_1393,PM10
site_1394,PM10
site_1395,PM10
site_1396,PM10
site_1397,PM10
site_1399,PM10
site_1400,PM10
site_1401,PM10
site_1402,PM10
site_1403,PM10
site_1404,PM10
site_1406,PM10
site_1416,PM10
site_1418,PM10
site_1419,PM10
site_1420,PM10
site_1421,PM10
site_1422,PM10
site_1423,PM10
site_1424,PM10
site_1425,PM10
site_1426,PM10
site_1427,PM10
site_1428,PM10
site_1429,PM10
site_1430,PM10
site_1431,PM10
site_1432,PM10
site_1433,PM10
site_1434,PM10
site_1435,PM10
site_1437,PM10
site_1438,PM10
site_144,PM10
site_1450,PM10
site_153,PM10
site_1538,PM10
site_1541,PM10
site_1542,PM10
site_1549,PM10
site_1550,PM10
site_1553,PM10
site_1554,PM10
site_1555,PM10
site_1556,PM10
site_1557,PM10
site_1558,PM10
site_1560,PM10
site_1561,PM10
site_1562,PM10
site_1563,PM10
site_166,PM10
site_198,PM10
site_199,PM10
site_251,PM10
site_252,PM10
site_253,PM10
site_255,PM10
site_256,PM10
site_258,PM10
site_260,PM10
site_262,PM10
site_274,PM10
site_275,PM10
site_277,PM10
site_295,PM10
site_296,PM10
site_297,PM10
site_298,PM10
site_299,PM10
site_301,PM10
site_302,PM10
site_304,PM10
site_305,PM10
site_308,PM10
site_309,PM10
site_5023,PM10
site_5024,PM10
site_5025,PM10
site_5039,PM10
site_5040,PM10
site_5042,PM10
site_5043,PM10
site_5044,PM10
site_5045,PM10
site_5046,PM10
site_5047,PM10
site_5048,PM10
site_5049,PM10
site_5050,PM10
site_5051,PM10
site_5052,PM10
site_5053,PM10
site_5054,PM10
site_5055,PM10
site_5056,PM10
site_5057,PM10
site_5060,PM10
site_5065,PM10
site_5066,PM10
site_5067,PM10
site_5068,PM10
site_5071,PM10
site_5072,PM10
site_5073,PM10
site_5081,PM10
site_5082,PM10
site_5083,PM10
site_5101,PM10
site_5105,PM10
site_5106,PM10
site_5107,PM10
site_5110,PM10
site_5111,PM10
site_5112,PM10
site_5119,PM10
site_5121,PM10
site_5122,PM10
site_5123,PM10
site_5124,PM10
site_5125,PM10
site_5126,PM10
site_5127,PM10
site_5129,PM10
site_5238,PM10
site_5247,PM10
site_5248,PM10
site_5249,PM10
site_5250,PM10
site_5254,PM10
site_5255,PM10
site_5258,PM10
site_5261,PM10
site_5262,PM10
site_5263,PM10
site_5264,PM10
site_5265,PM10
site_5266,PM10
site_5270,PM10
site_5271,PM10
site_5272,PM10
site_5273,PM10
site_5276,PM10
site_5334,PM10
site_5335,PM10
site_5336,PM10
site_5338,PM10
site_5339,PM10
site_5340,PM10
site_5344,PM10
site_5345,PM10
site_5361,PM10
site_5363,PM10
site_5364,PM10
site_5365,PM10
site_5367,PM10
site_5370,PM10
site_5391,PM10
site_5394,PM10
site_5396,PM10
site_5399,PM10
site_5417,PM10
site_5423,PM10
site_103,Ozone
site_105,Ozone
site_106,Ozone
site_107,Ozone
site_108,Ozone
site_109,Ozone
site_111,Ozone
site_113,Ozone
site_114,Ozone
site_115,Ozone
site_117,Ozone
site_118,Ozone
site_119,Ozone
site_122,Ozone
site_124,Ozone
site_125,Ozone
site_136,Ozone
site_1390,Ozone
site_1391,Ozone
site_1392,Ozone
site_1393,Ozone
site_1394,Ozone
site_1395,Ozone
site_1396,Ozone
site_1397,Ozone
site_1399,Ozone
site_1400,Ozone
site_1401,Ozone
site_1402,Ozone
site_1403,Ozone
site_1404,Ozone
site_1406,Ozone
site_1408,Ozone
site_1416,Ozone
site_1418,Ozone
site_1419,Ozone
site_1420,Ozone
site_1421,Ozone
site_1422,Ozone
site_1423,Ozone
site_1424,Ozone
site_1425,Ozone
site_1426,Ozone
site_1427,Ozone
site_1428,Ozone
site_1429,Ozone
site_1430,Ozone
site_1431,Ozone
site_1432,Ozone
site_1434,Ozone
site_1435,Ozone
site_1437,Ozone
site_1438,Ozone
site_1450,Ozone
site_146,Ozone
site_147,Ozone
site_153,Ozone
site_1541,Ozone
site_1542,Ozone
site_1550,Ozone
site_1553,Ozone
site_1554,Ozone
site_1555,Ozone
site_1556,Ozone
site_1557,Ozone
site_1558,Ozone
site_1560,Ozone
site_1561,Ozone
site_1562,Ozone
site_1563,Ozone
site_158,Ozone
site_159,Ozone
site_161,Ozone
site_162,Ozone
site_164,Ozone
site_198,Ozone
site_199,Ozone
site_251,Ozone
site_252,Ozone
site_253,Ozone
site_255,Ozone
site_256,Ozone
site_258,Ozone
site_260,Ozone
site_262,Ozone
site_273,Ozone
site_274,Ozone
site_275,Ozone
site_276,Ozone
site_277,Ozone
site_288,Ozone
site_292,Ozone
site_293,Ozone
site_294,Ozone
site_296,Ozone
site_297,Ozone
site_298,Ozone
site_301,Ozone
site_302,Ozone
site_303,Ozone
site_304,Ozone
site_305,Ozone
site_307,Ozone
site_308,Ozone
site_309,Ozone
site_5023,Ozone
site_5024,Ozone
site_5025,Ozone
site_5039,Ozone
site_5043,Ozone
site_5044,Ozone
site_5045,Ozone
site_5046,Ozone
site_5047,Ozone
site_5048,Ozone
site_5049,Ozone
site_5050,Ozone
site_5051,Ozone
site_5052,Ozone
site_5053,Ozone
site_5054,Ozone
site_5055,Ozone
site_5056,Ozone
site_5057,Ozone
site_5060,Ozone
site_5065,Ozone
site_5066,Ozone
site_5067,Ozone
site_5071,Ozone
site_5072,Ozone
site_5073,Ozone
site_5081,Ozone
site_5082,Ozone
site_5083,Ozone
site_5101,Ozone
site_5105,Ozone
site_5106,Ozone
site_5107,Ozone
site_5110,Ozone
site_5111,Ozone
site_5112,Ozone
site_5119,Ozone
site_5121,Ozone
site_5122,Ozone
site_5123,Ozone
site_5124,Ozone
site_5125,Ozone
site_5126,Ozone
site_5127,Ozone
site_5128,Ozone
site_5129,Ozone
site_5238,Ozone
site_5247,Ozone
site_5248,Ozone
site_5249,Ozone
site_5250,Ozone
site_5254,Ozone
site_5255,Ozone
site_5257,Ozone
site_5258,Ozone
site_5261,Ozone
site_5262,Ozone
site_5263,Ozone
site_5264,Ozone
site_5265,Ozone
site_5266,Ozone
site_5271,Ozone
site_5273,Ozone
site_5331,Ozone
site_5334,Ozone
site_5335,Ozone
site_5336,Ozone
site_5337,Ozone
site_5338,Ozone
site_5339,Ozone
site_5340,Ozone
site_5344,Ozone
site_5345,Ozone
site_5365,Ozone
site_5370,Ozone
site_5375,Ozone
site_5394,Ozone
site_5399,Ozone
site_5403,Ozone
site_5404,Ozone
site_5417,Ozone
site_5421,Ozone
site_5423,Ozone
site_103,NO2
site_105,NO2
site_106,NO2
site_107,NO2
site_108,NO2
site_109,NO2
site_111,NO2
site_113,NO2
site_114,NO2
site_115,NO2
site_117,NO2
site_118,NO2
site_119,NO2
site_122,NO2
site_124,NO2
site_125,NO2
site_136,NO2
site_1390,NO2
site_1391,NO2
site_1392,NO2
site_1393,NO2
site_1394,NO2
site_1395,NO2
site_1396,NO2
site_1397,NO2
site_1399,NO2
site_1402,NO2
site_1403,NO2
site_1404,NO2
site_1406,NO2
site_1416,NO2
site_1418,NO2
site_1419,NO2
site_1420,NO2
site_1421,NO2
site_1422,NO2
site_1423,NO2
site_1424,NO2
site_1425,NO2
site_1426,NO2
site_1427,NO2
site_1428,NO2
site_1429,NO2
site_1430,NO2
site_1431,NO2
site_1432,NO2
site_1434,NO2
site_1435,NO2
site_1437,NO2
site_1438,NO2
site_144,NO2
site_1450,NO2
site_146,NO2
site_147,NO2
site_153,NO2
site_1538,NO2
site_1541,NO2
site_1542,NO2
site_1549,NO2
site_1553,NO2
site_1555,NO2
site_1557,NO2
site_1560,NO2
site_1561,NO2
site_1562,NO2
site_1563,NO2
site_157,NO2
site_158,NO2
site_159,NO2
site_161,NO2
site_162,NO2
site_163,NO2
site_198,NO2
site_199,NO2
site_251,NO2
site_252,NO2
site_253,NO2
site_256,NO2
site_258,NO2
site_260,NO2
site_262,NO2
site_273,NO2
site_274,NO2
site_275,NO2
site_276,NO2
site_277,NO2
site_288,NO2
site_293,NO2
site_294,NO2
site_295,NO2
site_296,NO2
site_297,NO2
site_298,NO2
site_299,NO2
site_301,NO2
site_303,NO2
site_304,NO2
site_305,NO2
site_306,NO2
site_307,NO2
site_308,NO2
site_309,NO2
site_5023,NO2
site_5024,NO2
site_5025,NO2
site_5039,NO2
site_5040,NO2
site_5042,NO2
site_5043,NO2
site_5044,NO2
site_5045,NO2
site_5046,NO2
site_5047,NO2
site_5048,NO2
site_5049,NO2
site_5050,NO2
site_5051,NO2
site_5052,NO2
site_5053,NO2
site_5054,NO2
site_5055,NO2
site_5056,NO2
site_5057,NO2
site_5060,NO2
site_5065,NO2
site_5066,NO2
site_5067,NO2
site_5068,NO2
site_5072,NO2
site_5073,NO2
site_5081,NO2
site_5082,NO2
site_5083,NO2
site_5101,NO2
site_5102,NO2
site_5104,NO2
site_5105,NO2
site_5106,NO2
site_5110,NO2
site_5111,NO2
site_5112,NO2
site_5119,NO2
site_5121,NO2
site_5122,NO2
site_5123,NO2
site_5124,NO2
site_5126,NO2
site_5127,NO2
site_5129,NO2
site_5238,NO2
site_5247,NO2
site_5248,NO2
site_5249,NO2
site_5250,NO2
site_5254,NO2
site_5255,NO2
site_5258,NO2
site_5261,NO2
site_5262,NO2
site_5263,NO2
site_5264,NO2
site_5265,NO2
site_5266,NO2
site_5267,NO2
site_5270,NO2
site_5271,NO2
site_5273,NO2
site_5276,NO2
site_5331,NO2
site_5334,NO2
site_5335,NO2
site_5336,NO2
site_5338,NO2
site_5339,NO2
site_5344,NO2
site_5345,NO2
site_5363,NO2
site_5365,NO2
site_5370,NO2
site_5375,NO2
site_5391,NO2
site_5404,NO2
site_5421,NO2
site_5423,NO2
